region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,gender_label,marital_label,retire_label
3,33,41,0,15,37.0,2,11,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,61,52,0,21,82.0,1,18,0.0,0,1,3,Mujer,Soltero,No Jubilado
1,17,41,0,4,32.0,2,3,0.0,0,1,3,Mujer,Soltero,No Jubilado
3,3,25,1,2,45.0,4,0,0.0,1,2,1,Hombre,Casado,No Jubilado
1,10,31,0,0,32.0,4,7,0.0,1,2,2,Hombre,Soltero,No Jubilado
2,22,35,0,12,28.0,2,3,0.0,0,2,2,Mujer,Soltero,No Jubilado
1,45,52,0,15,46.0,5,8,0.0,1,1,2,Hombre,Soltero,No Jubilado
1,15,35,1,5,34.0,3,8,0.0,0,2,2,Mujer,Casado,No Jubilado
3,25,29,0,9,55.0,4,1,0.0,0,1,1,Mujer,Soltero,No Jubilado
2,19,32,0,12,71.0,4,5,0.0,1,1,4,Hombre,Soltero,No Jubilado
2,37,33,0,4,41.0,3,8,0.0,1,3,2,Hombre,Soltero,No Jubilado
2,7,43,0,4,69.0,3,5,0.0,1,1,1,Hombre,Soltero,No Jubilado
1,65,48,0,28,94.0,1,25,0.0,0,1,2,Mujer,Soltero,No Jubilado
1,13,45,1,3,99.0,3,8,0.0,1,2,3,Hombre,Casado,No Jubilado
3,43,51,1,15,186.0,3,25,0.0,0,2,4,Mujer,Casado,No Jubilado
1,9,21,1,1,17.0,2,2,0.0,1,3,1,Hombre,Casado,No Jubilado
1,60,46,0,17,81.0,5,9,0.0,1,1,2,Hombre,Soltero,No Jubilado
2,38,30,1,10,25.0,1,5,0.0,1,4,1,Hombre,Casado,No Jubilado
2,1,33,0,5,53.0,4,6,0.0,1,1,1,Hombre,Soltero,No Jubilado
1,13,54,0,2,31.0,4,2,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,11,32,0,8,23.0,2,0,0.0,1,1,1,Hombre,Soltero,No Jubilado
2,42,57,1,25,209.0,1,40,0.0,1,4,1,Hombre,Casado,No Jubilado
3,66,55,0,20,80.0,2,24,0.0,1,1,3,Hombre,Soltero,No Jubilado
2,6,50,0,5,37.0,2,0,0.0,0,1,2,Mujer,Soltero,No Jubilado
2,72,60,1,33,12.0,1,20,1.0,0,3,4,Mujer,Casado,Jubilado
3,19,50,0,7,112.0,4,3,0.0,1,1,4,Hombre,Soltero,No Jubilado
2,25,41,0,3,81.0,3,20,0.0,1,4,3,Hombre,Soltero,No Jubilado
1,70,44,1,24,87.0,2,18,0.0,0,3,3,Mujer,Casado,No Jubilado
1,71,45,1,14,86.0,2,25,0.0,0,2,2,Mujer,Casado,No Jubilado
1,28,31,1,0,42.0,4,5,0.0,1,3,3,Hombre,Casado,No Jubilado
1,34,33,0,8,35.0,3,2,0.0,1,1,2,Hombre,Soltero,No Jubilado
1,2,40,0,9,134.0,4,2,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,18,31,1,12,24.0,3,4,0.0,0,4,2,Mujer,Casado,No Jubilado
2,31,46,0,23,144.0,4,13,0.0,0,1,3,Mujer,Soltero,No Jubilado
3,42,58,0,7,22.0,1,4,0.0,1,1,2,Hombre,Soltero,No Jubilado
2,61,52,1,23,19.0,1,0,0.0,0,2,3,Mujer,Casado,No Jubilado
2,48,42,0,21,35.0,4,5,0.0,0,1,3,Mujer,Soltero,No Jubilado
2,1,24,0,3,20.0,1,3,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,18,69,1,11,58.0,3,8,0.0,0,2,4,Mujer,Casado,No Jubilado
3,26,42,0,20,49.0,3,13,0.0,0,1,4,Mujer,Soltero,No Jubilado
1,1,34,1,6,18.0,1,0,0.0,1,2,1,Hombre,Casado,No Jubilado
3,51,49,0,29,45.0,1,16,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,10,28,0,9,75.0,4,1,0.0,0,1,4,Mujer,Soltero,No Jubilado
1,22,48,0,7,88.0,4,12,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,18,28,1,3,22.0,1,2,0.0,1,5,1,Hombre,Casado,No Jubilado
3,9,34,1,9,33.0,2,8,0.0,1,4,1,Hombre,Casado,No Jubilado
1,38,31,1,7,187.0,4,6,0.0,0,3,4,Mujer,Casado,No Jubilado
2,61,40,0,15,85.0,3,15,0.0,1,1,3,Hombre,Soltero,No Jubilado
1,34,40,1,21,23.0,4,9,0.0,1,3,4,Hombre,Casado,No Jubilado
1,40,29,1,6,40.0,2,8,0.0,1,5,3,Hombre,Casado,No Jubilado
1,34,49,1,27,61.0,3,15,0.0,1,2,3,Hombre,Casado,No Jubilado
2,10,34,0,1,52.0,5,3,0.0,1,1,2,Hombre,Soltero,No Jubilado
1,10,27,1,2,15.0,3,2,0.0,1,2,4,Hombre,Casado,No Jubilado
2,55,44,1,2,68.0,2,15,0.0,0,5,3,Mujer,Casado,No Jubilado
2,56,50,1,1,80.0,2,24,0.0,1,4,4,Hombre,Casado,No Jubilado
1,4,37,1,8,25.0,1,1,0.0,1,5,1,Hombre,Casado,No Jubilado
2,32,22,1,2,17.0,2,2,0.0,1,4,3,Hombre,Casado,No Jubilado
2,16,22,0,0,26.0,3,0,0.0,1,3,2,Hombre,Soltero,No Jubilado
2,12,55,1,13,36.0,1,5,0.0,1,2,2,Hombre,Casado,No Jubilado
1,62,52,1,2,195.0,1,23,0.0,0,2,3,Mujer,Casado,No Jubilado
1,5,32,0,6,33.0,4,3,0.0,0,2,1,Mujer,Soltero,No Jubilado
1,61,34,1,0,70.0,3,7,0.0,1,3,4,Hombre,Casado,No Jubilado
2,61,50,1,16,190.0,2,22,0.0,1,2,2,Hombre,Casado,No Jubilado
1,16,27,0,5,37.0,3,5,0.0,0,4,1,Mujer,Soltero,No Jubilado
2,72,66,1,43,96.0,2,16,0.0,1,2,4,Hombre,Casado,No Jubilado
3,13,36,0,11,31.0,2,0,0.0,0,1,1,Mujer,Soltero,No Jubilado
2,20,38,0,19,237.0,4,13,0.0,0,1,4,Mujer,Soltero,No Jubilado
3,61,73,0,10,25.0,1,21,1.0,0,1,1,Mujer,Soltero,Jubilado
1,9,36,1,14,62.0,4,10,0.0,0,6,4,Mujer,Casado,No Jubilado
1,49,35,1,15,113.0,4,4,0.0,0,5,2,Mujer,Casado,No Jubilado
1,53,31,0,10,46.0,3,6,0.0,0,2,2,Mujer,Soltero,No Jubilado
3,43,21,1,1,25.0,1,4,0.0,0,4,2,Mujer,Casado,No Jubilado
3,13,43,1,1,123.0,3,21,0.0,0,5,4,Mujer,Casado,No Jubilado
1,71,46,0,27,119.0,5,7,0.0,1,1,4,Hombre,Soltero,No Jubilado
3,26,54,1,30,26.0,3,1,0.0,1,2,4,Hombre,Casado,No Jubilado
1,13,54,0,12,121.0,4,23,0.0,0,1,3,Mujer,Soltero,No Jubilado
1,64,37,0,10,44.0,4,9,0.0,1,1,2,Hombre,Soltero,No Jubilado
1,41,53,1,22,94.0,2,25,0.0,0,2,2,Mujer,Casado,No Jubilado
1,50,52,1,22,162.0,2,27,0.0,1,2,4,Hombre,Casado,No Jubilado
3,59,32,0,9,73.0,4,5,0.0,0,1,2,Mujer,Soltero,No Jubilado
1,13,40,0,16,142.0,2,18,0.0,1,1,1,Hombre,Soltero,No Jubilado
3,60,57,0,38,162.0,2,30,0.0,0,1,3,Mujer,Soltero,No Jubilado
1,29,32,1,0,49.0,4,3,0.0,1,3,2,Hombre,Casado,No Jubilado
3,53,33,0,10,101.0,5,4,0.0,1,2,4,Hombre,Soltero,No Jubilado
3,48,39,0,20,110.0,4,9,0.0,0,1,3,Mujer,Soltero,No Jubilado
3,51,45,1,4,46.0,3,6,0.0,0,2,4,Mujer,Casado,No Jubilado
1,3,25,0,0,65.0,4,0,0.0,1,1,4,Hombre,Soltero,No Jubilado
2,1,36,0,6,21.0,1,1,0.0,0,2,2,Mujer,Soltero,No Jubilado
2,44,39,0,16,79.0,2,16,0.0,0,1,4,Mujer,Soltero,No Jubilado
3,28,50,1,7,25.0,1,3,0.0,0,2,1,Mujer,Casado,No Jubilado
1,46,31,1,12,21.0,1,5,0.0,0,5,3,Mujer,Casado,No Jubilado
3,32,33,0,1,38.0,1,12,0.0,1,1,1,Hombre,Soltero,No Jubilado
1,3,31,1,4,23.0,4,4,0.0,0,5,4,Mujer,Casado,No Jubilado
2,17,28,0,3,37.0,3,2,0.0,1,1,3,Hombre,Soltero,No Jubilado
1,32,34,1,7,32.0,2,15,0.0,0,4,1,Mujer,Casado,No Jubilado
2,47,25,1,5,21.0,1,1,0.0,1,2,3,Hombre,Casado,No Jubilado
3,22,39,0,4,55.0,2,17,0.0,1,1,4,Hombre,Soltero,No Jubilado
1,5,28,1,3,39.0,5,1,0.0,0,6,4,Mujer,Casado,No Jubilado
2,28,20,1,1,18.0,3,0,0.0,0,3,4,Mujer,Casado,No Jubilado
1,65,59,0,27,732.0,3,31,0.0,1,1,2,Hombre,Soltero,No Jubilado
3,32,35,0,12,57.0,4,5,0.0,0,1,2,Mujer,Soltero,No Jubilado
1,17,41,1,7,25.0,2,17,0.0,0,3,3,Mujer,Casado,No Jubilado
3,16,35,0,7,46.0,3,3,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,64,24,1,0,23.0,3,1,0.0,1,5,2,Hombre,Casado,No Jubilado
2,57,54,1,30,115.0,4,23,0.0,1,3,4,Hombre,Casado,No Jubilado
3,5,35,1,9,59.0,3,8,0.0,1,5,4,Hombre,Casado,No Jubilado
2,3,32,0,4,58.0,2,11,0.0,0,4,4,Mujer,Soltero,No Jubilado
3,34,51,0,8,50.0,4,14,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,59,26,1,3,41.0,4,1,0.0,1,3,2,Hombre,Casado,No Jubilado
1,42,44,1,2,99.0,2,21,0.0,0,3,3,Mujer,Casado,No Jubilado
1,60,53,0,32,93.0,1,28,0.0,0,1,3,Mujer,Soltero,No Jubilado
1,66,54,1,8,591.0,4,25,0.0,1,2,4,Hombre,Casado,No Jubilado
2,18,38,0,8,45.0,2,2,0.0,1,4,4,Hombre,Soltero,No Jubilado
1,71,39,0,2,40.0,3,17,0.0,0,1,3,Mujer,Soltero,No Jubilado
1,24,39,0,2,122.0,4,12,0.0,0,3,4,Mujer,Soltero,No Jubilado
1,38,55,1,12,135.0,2,24,0.0,0,4,4,Mujer,Casado,No Jubilado
3,54,59,0,28,28.0,2,15,0.0,0,1,2,Mujer,Soltero,No Jubilado
3,43,29,0,4,33.0,1,13,0.0,1,4,3,Hombre,Soltero,No Jubilado
2,64,38,0,0,29.0,2,2,0.0,0,2,2,Mujer,Soltero,No Jubilado
2,43,27,1,3,21.0,2,1,0.0,1,3,2,Hombre,Casado,No Jubilado
2,48,43,0,13,110.0,5,15,0.0,1,3,2,Hombre,Soltero,No Jubilado
2,45,49,1,27,81.0,2,7,0.0,1,4,3,Hombre,Casado,No Jubilado
1,21,44,1,4,26.0,3,2,0.0,0,2,4,Mujer,Casado,No Jubilado
2,24,43,1,15,48.0,4,4,0.0,0,6,4,Mujer,Casado,No Jubilado
1,68,52,1,17,120.0,1,24,0.0,0,2,1,Mujer,Casado,No Jubilado
2,8,39,0,0,39.0,1,7,0.0,1,1,1,Hombre,Soltero,No Jubilado
3,65,47,1,18,37.0,1,15,0.0,1,4,1,Hombre,Casado,No Jubilado
1,10,23,0,4,36.0,2,1,0.0,0,3,3,Mujer,Soltero,No Jubilado
2,11,20,0,1,20.0,2,0,0.0,1,1,4,Hombre,Soltero,No Jubilado
2,50,54,0,15,248.0,3,28,0.0,1,1,3,Hombre,Soltero,No Jubilado
2,69,48,1,27,55.0,2,4,0.0,0,2,3,Mujer,Casado,No Jubilado
1,16,34,1,13,56.0,3,10,0.0,1,3,1,Hombre,Casado,No Jubilado
2,16,36,0,13,58.0,4,4,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,22,33,1,13,119.0,5,0,0.0,1,4,4,Hombre,Casado,No Jubilado
1,13,23,1,3,30.0,3,0,0.0,1,4,4,Hombre,Casado,No Jubilado
2,27,41,1,7,62.0,4,15,0.0,1,2,3,Hombre,Casado,No Jubilado
3,64,31,1,5,46.0,2,7,0.0,1,4,2,Hombre,Casado,No Jubilado
2,66,42,1,18,118.0,2,20,0.0,0,2,2,Mujer,Casado,No Jubilado
3,15,25,1,0,51.0,3,2,0.0,1,2,1,Hombre,Casado,No Jubilado
3,44,31,0,8,16.0,1,3,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,9,25,0,3,27.0,1,4,0.0,1,1,1,Hombre,Soltero,No Jubilado
2,57,51,0,10,46.0,1,13,0.0,0,1,2,Mujer,Soltero,No Jubilado
1,30,51,1,9,118.0,5,21,0.0,1,2,1,Hombre,Casado,No Jubilado
3,53,38,1,15,20.0,3,6,0.0,1,4,2,Hombre,Casado,No Jubilado
2,68,42,0,16,89.0,4,12,0.0,0,1,2,Mujer,Soltero,No Jubilado
2,61,45,0,21,80.0,2,13,0.0,1,1,2,Hombre,Soltero,No Jubilado
2,30,52,0,23,17.0,3,3,0.0,1,1,2,Hombre,Soltero,No Jubilado
3,63,28,1,9,34.0,2,10,0.0,1,6,3,Hombre,Casado,No Jubilado
3,14,22,1,2,13.0,3,0,0.0,1,4,2,Hombre,Casado,No Jubilado
1,9,29,0,9,39.0,3,5,0.0,1,1,1,Hombre,Soltero,No Jubilado
3,63,56,0,17,71.0,3,18,0.0,1,1,1,Hombre,Soltero,No Jubilado
1,21,39,1,7,25.0,2,1,0.0,0,4,3,Mujer,Casado,No Jubilado
3,58,28,0,5,34.0,5,1,0.0,1,1,2,Hombre,Soltero,No Jubilado
3,22,30,0,8,41.0,2,8,0.0,0,1,3,Mujer,Soltero,No Jubilado
3,56,60,0,26,70.0,2,20,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,33,34,1,2,28.0,1,3,0.0,1,3,2,Hombre,Casado,No Jubilado
1,8,30,0,1,34.0,2,9,0.0,1,1,3,Hombre,Soltero,No Jubilado
3,47,41,1,0,36.0,4,8,0.0,0,2,4,Mujer,Casado,No Jubilado
1,35,66,1,44,14.0,3,12,1.0,1,2,3,Hombre,Casado,Jubilado
3,3,43,0,19,61.0,4,11,0.0,1,1,1,Hombre,Soltero,No Jubilado
1,68,41,1,21,72.0,1,22,0.0,0,3,2,Mujer,Casado,No Jubilado
2,8,22,0,3,25.0,4,0,0.0,0,1,3,Mujer,Soltero,No Jubilado
2,42,48,1,22,82.0,1,21,0.0,1,5,4,Hombre,Casado,No Jubilado
2,54,50,1,5,151.0,4,20,0.0,0,3,3,Mujer,Casado,No Jubilado
1,18,52,1,20,66.0,1,19,0.0,1,2,1,Hombre,Casado,No Jubilado
1,72,54,1,6,345.0,1,32,0.0,0,2,3,Mujer,Casado,No Jubilado
1,50,43,0,6,27.0,3,4,0.0,0,1,3,Mujer,Soltero,No Jubilado
3,52,61,1,3,53.0,5,1,0.0,1,2,2,Hombre,Casado,No Jubilado
3,22,34,1,1,46.0,3,1,0.0,0,4,2,Mujer,Casado,No Jubilado
2,21,29,0,7,40.0,4,2,0.0,1,4,1,Hombre,Soltero,No Jubilado
1,31,47,1,18,35.0,2,0,0.0,0,2,1,Mujer,Casado,No Jubilado
3,45,66,0,11,87.0,3,25,1.0,1,1,1,Hombre,Soltero,Jubilado
1,49,54,0,24,30.0,2,5,0.0,0,1,2,Mujer,Soltero,No Jubilado
2,47,25,0,2,28.0,2,6,0.0,0,1,4,Mujer,Soltero,No Jubilado
3,67,42,1,20,81.0,3,20,0.0,1,5,4,Hombre,Casado,No Jubilado
1,46,48,1,12,256.0,3,25,0.0,0,6,4,Mujer,Casado,No Jubilado
2,13,33,1,9,19.0,4,0,0.0,1,2,2,Hombre,Casado,No Jubilado
3,56,42,1,10,24.0,2,5,0.0,0,2,3,Mujer,Casado,No Jubilado
1,4,40,0,12,38.0,2,5,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,16,39,0,6,44.0,4,3,0.0,1,1,2,Hombre,Soltero,No Jubilado
2,43,43,1,3,55.0,4,18,0.0,1,4,4,Hombre,Casado,No Jubilado
2,53,51,0,31,245.0,4,0,0.0,0,1,2,Mujer,Soltero,No Jubilado
3,10,33,1,2,66.0,3,9,0.0,1,4,1,Hombre,Casado,No Jubilado
3,6,33,0,12,26.0,3,0,0.0,0,1,3,Mujer,Soltero,No Jubilado
2,71,41,1,10,73.0,2,23,0.0,1,2,3,Hombre,Casado,No Jubilado
2,19,37,1,4,99.0,2,15,0.0,1,3,2,Hombre,Casado,No Jubilado
2,18,69,0,28,11.0,1,17,1.0,0,1,1,Mujer,Soltero,Jubilado
1,18,45,1,17,43.0,1,9,0.0,0,3,3,Mujer,Casado,No Jubilado
1,37,54,1,35,183.0,2,22,0.0,0,3,3,Mujer,Casado,No Jubilado
3,14,37,1,5,48.0,3,1,0.0,1,4,1,Hombre,Casado,No Jubilado
3,36,48,0,28,29.0,1,2,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,28,36,0,3,42.0,3,7,0.0,1,1,3,Hombre,Soltero,No Jubilado
2,22,39,0,0,63.0,4,9,0.0,0,1,2,Mujer,Soltero,No Jubilado
2,41,45,0,14,25.0,3,6,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,47,35,1,13,70.0,4,9,0.0,1,2,4,Hombre,Casado,No Jubilado
2,6,30,0,9,45.0,2,2,0.0,1,1,1,Hombre,Soltero,No Jubilado
1,19,27,1,7,56.0,4,1,0.0,0,4,4,Mujer,Casado,No Jubilado
3,55,52,0,22,127.0,1,28,0.0,1,3,2,Hombre,Soltero,No Jubilado
3,1,20,0,1,18.0,3,0,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,23,20,0,1,15.0,3,0,0.0,1,1,2,Hombre,Soltero,No Jubilado
3,40,63,1,9,61.0,1,22,0.0,0,2,1,Mujer,Casado,No Jubilado
3,51,37,1,17,101.0,2,10,0.0,1,2,3,Hombre,Casado,No Jubilado
2,45,59,0,14,51.0,1,15,0.0,0,2,1,Mujer,Soltero,No Jubilado
3,22,23,0,3,37.0,2,4,0.0,1,3,4,Hombre,Soltero,No Jubilado
3,19,29,1,9,18.0,2,2,0.0,0,3,1,Mujer,Casado,No Jubilado
3,35,45,0,17,29.0,1,6,0.0,0,1,1,Mujer,Soltero,No Jubilado
2,53,22,0,1,25.0,4,0,0.0,0,2,2,Mujer,Soltero,No Jubilado
3,27,34,0,8,21.0,3,4,0.0,1,1,2,Hombre,Soltero,No Jubilado
2,12,24,0,2,19.0,1,0,0.0,0,1,3,Mujer,Soltero,No Jubilado
1,37,60,1,0,46.0,1,20,0.0,0,3,3,Mujer,Casado,No Jubilado
2,2,29,1,3,44.0,2,9,0.0,1,6,4,Hombre,Casado,No Jubilado
2,41,39,0,17,78.0,2,16,0.0,1,1,3,Hombre,Soltero,No Jubilado
2,1,22,0,2,35.0,2,2,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,44,39,1,8,41.0,2,8,0.0,0,4,4,Mujer,Casado,No Jubilado
3,55,37,1,15,23.0,2,0,0.0,1,5,3,Hombre,Casado,No Jubilado
3,67,60,0,24,24.0,1,6,0.0,1,1,3,Hombre,Soltero,No Jubilado
3,53,33,0,1,60.0,1,6,0.0,0,2,4,Mujer,Soltero,No Jubilado
2,35,38,0,7,90.0,2,18,0.0,0,4,2,Mujer,Soltero,No Jubilado
3,67,40,1,21,40.0,4,7,0.0,1,4,4,Hombre,Casado,No Jubilado
3,65,39,1,18,32.0,2,15,0.0,0,4,3,Mujer,Casado,No Jubilado
2,16,33,0,1,30.0,3,7,0.0,0,4,3,Mujer,Soltero,No Jubilado
2,6,42,1,17,29.0,2,2,0.0,1,2,4,Hombre,Casado,No Jubilado
2,39,51,1,21,41.0,5,20,0.0,0,6,4,Mujer,Casado,No Jubilado
3,71,48,0,25,288.0,3,19,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,16,48,0,25,59.0,2,13,0.0,0,2,3,Mujer,Soltero,No Jubilado
2,28,48,0,20,128.0,4,4,0.0,1,1,4,Hombre,Soltero,No Jubilado
2,23,30,1,9,30.0,1,2,0.0,0,4,3,Mujer,Casado,No Jubilado
1,26,30,0,9,18.0,4,1,0.0,0,3,4,Mujer,Soltero,No Jubilado
2,69,47,1,10,159.0,2,24,0.0,0,4,3,Mujer,Casado,No Jubilado
1,20,34,0,14,51.0,3,9,0.0,1,1,2,Hombre,Soltero,No Jubilado
3,20,48,1,29,24.0,2,3,0.0,0,2,4,Mujer,Casado,No Jubilado
3,36,42,0,5,31.0,1,4,0.0,1,1,1,Hombre,Soltero,No Jubilado
3,11,48,1,5,323.0,4,25,0.0,0,4,3,Mujer,Casado,No Jubilado
2,54,60,0,38,211.0,4,25,0.0,0,1,4,Mujer,Soltero,No Jubilado
1,8,49,0,14,134.0,4,9,0.0,1,1,4,Hombre,Soltero,No Jubilado
1,58,62,1,36,27.0,1,0,0.0,0,2,1,Mujer,Casado,No Jubilado
3,38,27,1,0,26.0,4,2,0.0,0,4,4,Mujer,Casado,No Jubilado
2,64,46,1,19,168.0,2,26,0.0,1,2,4,Hombre,Casado,No Jubilado
1,65,37,0,8,56.0,2,15,0.0,0,1,2,Mujer,Soltero,No Jubilado
3,61,52,1,30,91.0,1,25,0.0,1,2,1,Hombre,Casado,No Jubilado
1,42,42,1,9,41.0,2,13,0.0,0,8,3,Mujer,Casado,No Jubilado
2,49,54,1,23,25.0,2,1,0.0,1,4,1,Hombre,Casado,No Jubilado
3,57,57,1,19,130.0,3,27,0.0,1,2,2,Hombre,Casado,No Jubilado
2,34,36,1,17,50.0,1,4,0.0,0,2,3,Mujer,Casado,No Jubilado
1,29,37,1,13,145.0,5,0,0.0,1,4,4,Hombre,Casado,No Jubilado
1,35,43,0,12,224.0,3,17,0.0,0,1,1,Mujer,Soltero,No Jubilado
1,34,55,0,2,48.0,2,11,0.0,0,1,1,Mujer,Soltero,No Jubilado
3,64,45,0,4,38.0,2,7,0.0,1,1,3,Hombre,Soltero,No Jubilado
2,24,27,0,2,17.0,3,3,0.0,0,5,2,Mujer,Soltero,No Jubilado
1,19,25,1,6,27.0,4,0,0.0,1,2,3,Hombre,Casado,No Jubilado
1,13,34,0,11,20.0,3,0,0.0,1,1,1,Hombre,Soltero,No Jubilado
3,5,47,0,7,46.0,1,6,0.0,1,1,1,Hombre,Soltero,No Jubilado
3,5,34,0,12,22.0,2,2,0.0,0,2,1,Mujer,Soltero,No Jubilado
3,65,64,0,20,88.0,3,26,0.0,1,1,4,Hombre,Soltero,No Jubilado
3,68,52,1,24,116.0,1,29,0.0,1,2,3,Hombre,Casado,No Jubilado
1,52,49,0,18,69.0,2,13,0.0,1,2,3,Hombre,Soltero,No Jubilado
1,67,45,1,22,83.0,3,11,0.0,1,2,2,Hombre,Casado,No Jubilado
1,13,21,0,2,19.0,3,0,0.0,1,1,2,Hombre,Soltero,No Jubilado
3,48,50,1,4,208.0,4,19,0.0,1,2,4,Hombre,Casado,No Jubilado
2,71,70,0,30,153.0,3,34,1.0,1,1,3,Hombre,Soltero,Jubilado
1,7,38,0,4,70.0,4,4,0.0,0,1,4,Mujer,Soltero,No Jubilado
3,35,55,0,24,30.0,2,2,0.0,0,1,1,Mujer,Soltero,No Jubilado
2,55,44,0,24,83.0,1,23,0.0,1,1,3,Hombre,Soltero,No Jubilado
1,40,40,1,3,73.0,4,12,0.0,1,4,3,Hombre,Casado,No Jubilado
2,39,44,1,14,418.0,4,18,0.0,0,2,4,Mujer,Casado,No Jubilado
2,22,56,1,14,57.0,4,28,0.0,0,2,4,Mujer,Casado,No Jubilado
1,72,63,1,29,15.0,5,31,1.0,0,2,3,Mujer,Casado,Jubilado
2,30,43,0,18,53.0,4,6,0.0,0,1,1,Mujer,Soltero,No Jubilado
2,48,42,0,21,46.0,4,4,0.0,0,1,3,Mujer,Soltero,No Jubilado
1,10,42,1,10,294.0,4,9,0.0,1,6,4,Hombre,Casado,No Jubilado
1,62,51,0,10,43.0,4,19,0.0,0,2,2,Mujer,Soltero,No Jubilado
1,50,50,0,24,31.0,1,8,0.0,0,1,3,Mujer,Soltero,No Jubilado
3,14,36,0,13,67.0,5,4,0.0,1,1,1,Hombre,Soltero,No Jubilado
2,48,34,0,7,42.0,3,2,0.0,1,1,2,Hombre,Soltero,No Jubilado
